,ndim,fid,iid,target,$C_1$ index,$C_{\Gamma}$ index,split,split_value,static_value,Static index,improvement_possible
22,5,6,2,-8.0,1569,2166,1.2,963.0000000000001,1086.2,2166,0.11342294236788797
23,5,6,3,-8.0,918,2166,1.4,893.4,1068.6,2166,0.16395283548568218
24,5,6,4,-8.0,4449,2166,0.6,855.0,1061.8,2166,0.19476360896590694
25,5,8,0,-8.0,3018,1014,1.6,1355.8000000000002,1446.2,2172,0.0625086433411699
26,5,8,1,-8.0,3924,1008,1.6,1268.0,1551.4,1008,0.18267371406471578
27,5,8,2,-8.0,4161,1875,0.2,1213.0,1659.2,1875,0.2689247830279653
28,5,8,3,-8.0,4083,2160,1.2,1217.8,1405.2,2160,0.13336179903216627
29,5,8,4,-8.0,3300,2166,1.2,1232.8,1531.4,2166,0.1949849810630796
30,5,9,0,-8.0,3807,1011,1.2,1213.2,1503.0,1011,0.19281437125748502
31,5,9,1,-8.0,414,1878,1.6,1231.4,1420.4,1878,0.13306110954660655
32,5,9,2,-8.0,903,2160,1.6,1270.8,1476.4,2175,0.13925765375237076
33,5,9,3,-8.0,3309,2166,1.4,1234.6,1504.0,2160,0.179122340425532
34,5,9,4,-8.0,1983,2166,0.2,1284.8000000000002,1545.4,918,0.16862948104050723
35,5,10,0,-8.0,4293,1872,0.2,1079.4,1251.8,1419,0.13772168077967717
